"requisito","prioridad","objetivo_producto","documento_contrato","documento_ux","documento_pruebas","fase_roadmap","verificacion_prevista","cobertura","notas"
"REQ-WFC-005","P2","Procedural editable","PM-09 Contradicciones; backtracking","PM-06 Flujo WFC y mensaje de contradicción","PM-12 Unitarias; sesiones exploratorias; corpus sin solución","Fase 6","Forzar contradicción; mostrar causa/estrategia; probar restart, backtracking y reparación local","Aprobado","Buen ejemplo UX; falta rúbrica de comprensibilidad"
"REQ-WFC-006","P2","Procedural editable","PM-09 Inicialización; completion localizada","PM-06 Flujo WFC","PM-12 Property-based; comparación de bloqueos","Fase 6","Precolapsar y completar parcial; hash de celdas bloqueadas permanece idéntico","Aprobado","Debe probar bordes y coordenadas negativas"
"REQ-WFC-007","P2","Procedural editable","PM-09 Depurador; observabilidad","PM-06 Flujo WFC; validación integrada","PM-12 Regresión visual; automatización UI; sesión de comprensión","Fase 6","Visualizar entropía/dominios/cadena; usuario localiza por qué se eliminó opción","Excepción justificada","Contrato técnico existe; falta criterio accesible y medible de explicación"
"REQ-IO-001","P0","Interoperabilidad; herramienta profesional","PM-05 Formato nativo; migraciones; PM-11 principio","PM-06 Básico; prevención de errores","PM-12 Round-trip; fuzzing; archivos dorados","Fase 1","Validar esquema/versionado/legibilidad; migrar corpus; round-trip canónico","Aprobado","Formato experimental hasta corpus real según PM-14"
"REQ-IO-002","P2","Interoperabilidad","PM-05 Compatibilidad externa; PM-11 importadores y compatibilidad Tiled","PM-06 Prevención de errores; validación integrada","PM-12 Corpus import/export; archivos dorados; fuzzing","Fase 7","Corpus TMX/JSON por versión; comparar subconjunto; reporte explícito de diferencias/pérdidas","Aprobado","Subconjunto prometido debe definirse antes de implementación"
"REQ-IO-003","P1","Interoperabilidad","PM-11 Exportadores; PM-05 compatibilidad externa","PM-06 Básico; prevención de errores","PM-12 Exportaciones doradas; automatización de interacción","Fase 1","Exportar CSV/PNG con orientación/recorte combinados; comparar archivos dorados","Aprobado","PM-14 dice PNG; PM-02 dice imágenes de previsualización, aclarar contrato"
"REQ-IO-004","P2","Interoperabilidad","PM-11 Unity; Godot; motores propios; PM-03 regla de dependencias","PM-06 Sin flujo específico de integración","PM-12 Integración; corpus de exportación","Fase 7 (motor propio desde Fase 2)","Exportar fixtures a adaptadores; prueba de consumo; test de dependencia del dominio","Excepción justificada","Motor propio se promete en F2 antes del paquete Unity/Godot"
"REQ-IO-005","P2","Interoperabilidad","PM-11 Manifiesto; seguridad; versionado API; PM-12 Seguridad de plugins","PM-06 Validación integrada; mensajes de incompatibilidad","PM-12 Fuzzing de manifiestos; integración host real; modo seguro","Fase 7","Cargar compatible; rechazar versión/permisos incompatibles con diagnóstico accionable","Aprobado","Modelo de permisos/firma depende de decisión de distribución"
"REQ-IO-006","P2","Interoperabilidad","PM-11 Plugin API; hooks; PM-03 servicios/contratos","PM-06 Atajos y comandos; paneles/plugins","PM-12 Pruebas de contrato; integración host real","Fase 7","Plugin mínimo por tipo usa solo API pública; prueba de compatibilidad y aislamiento","Excepción justificada","API no estable hasta D7; falta SDK/corpus por extensión"
"REQ-NFR-001","P1","Herramienta profesional","PM-10 Presupuestos iniciales; pipeline; escenas","PM-06 Feedback inmediato","PM-12 Benchmark; regresión de rendimiento","Spike Fase 0; transversal","Medir FPS y latencia p95 en proyectos/hardware de referencia durante operaciones comunes","Excepción justificada","60 FPS definido; hardware, percentiles y operaciones exactas pendientes"
"REQ-NFR-002","P1","Herramienta profesional","PM-04 Chunks; PM-05 chunks; PM-10 memoria y persistencia/carga","PM-06 Estado/progreso","PM-12 Stress; benchmarks; escenas grandes","Spike Fase 0; Fase 2","Abrir mapa disperso grande; medir memoria/tiempo y demostrar ausencia de matriz densa","Aprobado","Presupuesto numérico y hardware pendientes"
"REQ-NFR-003","P1","Herramienta profesional","PM-03 Jobs de larga duración; PM-10 jobs/snapshots/scheduler","PM-06 Estado de job; flujo procedural/WFC","PM-12 Integración jobs; automatización; cancelación exploratoria","Transversal desde primer job largo","Mantener input/UI responsiva; progreso; cancelar import/generación/validación en estado consistente","Aprobado","Falta presupuesto de responsividad y demora máxima de cancelación"
"REQ-NFR-004","P0","Herramienta profesional","PM-05 Validación de carga; PM-11 seguridad; PM-12 seguridad de archivos","PM-06 Validación integrada; prevención de errores","PM-12 Fuzzing; archivos maliciosos; límites de recursos","Fase 1 base; endurecimiento continuo","Fuzz/corpus corrupto; límites de tamaño/profundidad/recursos; diagnóstico sin crash ni agotamiento","Aprobado","Valores límite dependen de plataforma y deben fijarse"
"REQ-NFR-005","P0","Herramienta profesional","PM-05 Escritura atómica; autosave y recuperación","PM-06 Prevención de errores (sin recuperación detallada)","PM-12 Fault injection; integridad de documentos","Spike Fase 0; Fase 2","Matar proceso en cada paso de guardado; siempre archivo anterior válido o nuevo completo","Aprobado","F0 prueba atomicidad; UX de recuperación sigue parcial"
"REQ-NFR-006","P1","Herramienta profesional","PM-03 Presentación; estrategia tecnológica","PM-06 Accesibilidad; atajos y comandos","PM-12 Automatización UI; DoD de accesibilidad; matriz de plataformas","Spike Fase 0; transversal","Completar flujos esenciales sin mouse; foco; HiDPI 100/150/200%; lector de pantalla según matriz","Excepción justificada","Falta estándar, lista de flujos y tecnología asistiva aprobada"
"REQ-NFR-007","P1","Herramienta profesional","PM-11 Telemetría e informes; PM-12 Privacidad/observabilidad","PM-06 Sin controles de privacidad explícitos","PM-12 Privacidad; inspección de logs/bundles","Fase 2 o antes de instrumentar","Ejecutar offline/opt-out; inventariar datos; consentimiento; inspeccionar red y redacción de bundle","Excepción justificada","Roadmap no asigna fase; debe gobernarse antes de recolectar dato alguno"
